_id,Date,Gender,Race,Age at Booking,Current Age
599,2018-08-06,M,W,22,22
600,2018-08-06,M,W,60,61
601,2018-08-06,M,W,59,60
602,2018-08-06,M,B,53,53
603,2018-08-06,M,B,56,57
604,2018-08-06,M,W,23,23
605,2018-08-06,M,W,46,46
606,2018-08-06,M,W,31,31
607,2018-08-06,M,B,54,54
608,2018-08-06,M,B,58,58
609,2018-08-06,M,B,61,61
610,2018-08-06,M,W,44,44
611,2018-08-06,M,W,50,50
612,2018-08-06,M,B,28,28
613,2018-08-06,M,W,32,32
614,2018-08-06,M,B,21,21
615,2018-08-06,M,B,66,66
616,2018-08-06,M,B,46,47
617,2018-08-06,M,W,55,55
618,2018-08-06,M,W,41,41
619,2018-08-06,M,B,54,54
620,2018-08-06,M,W,57,57
621,2018-08-06,M,W,34,34
622,2018-08-06,M,B,61,61
623,2018-08-06,M,W,60,60
624,2018-08-06,M,W,45,45
625,2018-08-06,M,W,40,40
626,2018-08-06,M,B,53,53
627,2018-08-06,M,B,23,25
628,2018-08-06,M,B,30,32
629,2018-08-06,M,B,29,31
630,2018-08-06,M,B,22,24
631,2018-08-06,M,B,37,39
632,2018-08-06,M,B,37,39
633,2018-08-06,M,B,33,34
634,2018-08-06,M,W,31,32
635,2018-08-06,M,W,28,29
636,2018-08-06,M,B,20,21
637,2018-08-06,M,B,40,41
638,2018-08-06,M,B,29,30
639,2018-08-06,M,B,30,31
640,2018-08-06,M,B,52,53
641,2018-08-06,M,B,36,37
642,2018-08-06,M,W,30,31
643,2018-08-06,M,W,49,49
644,2018-08-06,M,W,35,35
645,2018-08-06,M,B,27,28
646,2018-08-06,M,B,28,28
647,2018-08-06,M,W,32,32
648,2018-08-06,M,W,32,32
649,2018-08-06,M,B,33,34
650,2018-08-06,M,B,35,35
651,2018-08-06,M,B,33,33
652,2018-08-06,M,W,27,28
653,2018-08-06,M,B,25,25
654,2018-08-06,M,B,23,23
655,2018-08-06,M,B,42,43
656,2018-08-06,M,W,24,25
657,2018-08-06,M,B,39,40
658,2018-08-06,M,B,24,25
659,2018-08-06,M,U,30,31
660,2018-08-06,M,W,30,30
661,2018-08-06,M,B,36,36
662,2018-08-06,M,W,28,29
663,2018-08-06,M,B,21,21
664,2018-08-06,M,B,31,31
665,2018-08-06,M,B,19,20
666,2018-08-06,M,W,36,36
667,2018-08-06,M,B,28,29
668,2018-08-06,M,B,20,21
669,2018-08-06,M,B,29,29
670,2018-08-06,M,B,26,27
671,2018-08-06,M,W,21,22
672,2018-08-06,M,W,26,26
673,2018-08-06,M,W,36,36
674,2018-08-06,M,B,19,19
675,2018-08-06,M,B,21,21
676,2018-08-06,M,B,23,23
677,2018-08-06,M,W,24,24
678,2018-08-06,M,B,41,42
679,2018-08-06,M,B,41,41
680,2018-08-06,M,B,20,20
681,2018-08-06,M,W,57,57
682,2018-08-06,M,B,38,38
683,2018-08-06,M,B,27,27
684,2018-08-06,M,x,24,25
685,2018-08-06,M,B,19,19
686,2018-08-06,M,B,22,22
687,2018-08-06,M,W,45,45
688,2018-08-06,M,B,18,18
689,2018-08-06,M,W,46,47
690,2018-08-06,M,B,27,27
691,2018-08-06,M,B,29,29
692,2018-08-06,M,B,32,33
693,2018-08-06,M,B,35,35
694,2018-08-06,M,B,27,27
695,2018-08-06,M,B,18,18
696,2018-08-06,M,W,37,37
697,2018-08-06,M,B,41,41
698,2018-08-06,M,B,46,47
699,2018-08-06,M,B,24,25
700,2018-08-06,M,x,26,26
701,2018-08-06,M,B,23,23
702,2018-08-06,M,B,42,42
703,2018-08-06,M,B,25,25
704,2018-08-06,M,B,37,37
705,2018-08-06,M,B,41,41
706,2018-08-06,M,W,50,50
707,2018-08-06,M,B,31,31
708,2018-08-06,M,W,32,33
709,2018-08-06,M,B,46,46
710,2018-08-06,M,B,31,31
711,2018-08-06,M,B,44,44
712,2018-08-06,M,W,33,33
713,2018-08-06,M,B,53,53
714,2018-08-06,M,B,47,47
715,2018-08-06,M,B,24,24
716,2018-08-06,M,B,33,33
717,2018-08-06,M,W,30,30
718,2018-08-06,M,B,20,20
719,2018-08-06,M,B,34,34
720,2018-08-06,M,W,32,32
721,2018-08-06,M,B,35,35
722,2018-08-06,M,W,21,21
723,2018-08-06,M,W,23,23
724,2018-08-06,M,B,45,45
725,2018-08-06,M,W,35,35
726,2018-08-06,M,W,39,39
727,2018-08-06,M,x,26,26
728,2018-08-06,M,B,35,35
729,2018-08-06,M,B,29,29
730,2018-08-06,M,B,19,20
731,2018-08-06,M,B,24,25
732,2018-08-06,M,B,41,42
733,2018-08-06,M,B,17,18
734,2018-08-06,M,B,26,27
735,2018-08-06,M,W,34,34
736,2018-08-06,M,B,21,22
737,2018-08-06,M,B,45,46
738,2018-08-06,M,B,24,24
739,2018-08-06,M,B,28,29
740,2018-08-06,M,B,28,29
741,2018-08-06,M,B,24,25
742,2018-08-06,M,H,39,40
743,2018-08-06,M,B,41,41
744,2018-08-06,M,W,48,49
745,2018-08-06,M,B,19,20
746,2018-08-06,M,B,17,18
747,2018-08-06,M,B,36,37
748,2018-08-06,M,B,20,21
749,2018-08-06,M,B,40,40
750,2018-08-06,M,B,49,50
751,2018-08-06,M,W,31,32
752,2018-08-06,M,B,29,30
753,2018-08-06,M,W,30,30
754,2018-08-06,M,W,24,24
755,2018-08-06,M,B,25,25
756,2018-08-06,M,B,20,21
757,2018-08-06,M,B,30,30
758,2018-08-06,M,B,19,19
759,2018-08-06,M,H,34,34
760,2018-08-06,M,W,31,32
761,2018-08-06,M,B,21,21
762,2018-08-06,M,H,26,26
763,2018-08-06,M,B,34,34
764,2018-08-06,M,W,61,62
765,2018-08-06,M,W,21,22
766,2018-08-06,M,W,52,52
767,2018-08-06,M,B,52,53
768,2018-08-06,M,W,47,47
769,2018-08-06,M,B,31,31
770,2018-08-06,M,A,27,27
771,2018-08-06,M,B,48,48
772,2018-08-06,M,W,22,22
773,2018-08-06,M,B,21,22
774,2018-08-06,M,B,46,46
775,2018-08-06,M,W,35,35
776,2018-08-06,M,B,30,30
777,2018-08-06,M,W,28,29
778,2018-08-06,M,B,23,23
779,2018-08-06,M,B,25,26
780,2018-08-06,M,B,19,19
781,2018-08-06,M,W,36,36
782,2018-08-06,M,U,44,44
783,2018-08-06,M,W,22,22
784,2018-08-06,M,B,25,25
785,2018-08-06,M,B,39,39
786,2018-08-06,M,B,21,21
787,2018-08-06,M,B,38,38
788,2018-08-06,M,H,30,30
789,2018-08-06,M,B,51,51
790,2018-08-06,M,B,63,63
791,2018-08-06,M,W,30,30
792,2018-08-06,M,B,35,35
793,2018-08-06,M,B,25,25
794,2018-08-06,M,B,27,27
795,2018-08-06,M,B,61,61
796,2018-08-06,M,B,29,29
797,2018-08-06,M,B,27,27
798,2018-08-06,M,B,26,26
799,2018-08-06,M,W,37,37
800,2018-08-06,M,B,36,36
801,2018-08-06,M,B,35,35
802,2018-08-06,M,B,28,28
803,2018-08-06,M,B,42,42
804,2018-08-06,M,B,22,22
805,2018-08-06,M,W,46,46
806,2018-08-06,M,B,22,22
807,2018-08-06,M,W,37,38
808,2018-08-06,M,W,36,36
809,2018-08-06,M,B,35,35
810,2018-08-06,M,B,31,31
811,2018-08-06,M,B,28,28
812,2018-08-06,M,B,25,25
813,2018-08-06,M,B,29,29
814,2018-08-06,M,B,54,54
815,2018-08-06,M,W,40,40
816,2018-08-06,M,B,26,26
